generation,best_element_fitness,time_to_run_generation
1,-14.920000000000002,0
2,-14.77,14.262783527374268
3,-14.850000000000003,14.715401649475098
4,-14.700000000000006,15.619393110275269
5,-13.990000000000006,16.59870457649231
6,-14.780000000000005,17.44758677482605
7,-14.770000000000001,17.139817476272583
8,-14.820000000000004,18.11983370780945
9,-13.780000000000005,17.757256746292114
10,19.36999999999994,18.56903886795044
11,18.91999999999994,21.4655020236969
12,20.619999999999926,25.311410188674927
13,18.669999999999916,21.115113496780396
14,15.439999999999932,24.544313192367554
15,19.619999999999933,25.549562692642212
16,20.12999999999992,35.55676198005676
17,21.52999999999991,41.39176630973816
18,20.049999999999912,52.33419179916382
19,20.47999999999992,50.75582194328308
20,23.099999999999817,71.74984645843506
21,22.73999999999976,110.2342267036438
22,21.349999999999916,138.62296199798584
23,21.7699999999999,166.74373602867126
24,22.299999999999848,163.01959490776062
25,22.019999999999897,170.7143964767456
