Cpu usado (%),Memória usada (MiB)
37.95,40.359375
49.725,57.24609375
49.45,57.24609375
49.475,57.24609375
49.7,57.24609375
49.925,57.24609375
49.225,57.24609375
49.975,57.24609375
49.475,57.66796875
49.2,57.66796875
49.725,57.66796875
49.45,57.66796875
49.2,57.66796875
49.95,57.66796875
48.7,57.66796875
49.45,57.66796875
49.7,57.66796875
48.95,57.66796875
49.225,57.66796875
48.7,57.66796875
48.7,57.66796875
49.2,57.66796875
49.225,57.66796875
49.475,57.66796875
48.95,57.66796875
49.2,57.66796875
48.95,57.66796875
48.95,57.66796875
49.45,60.66796875
49.45,60.66796875
49.45,60.66796875
49.45,60.66796875
48.95,60.66796875
49.45,60.66796875
48.975,60.66796875
49.2,60.66796875
49.2,60.66796875
48.975,60.66796875
49.2,60.66796875
49.2,60.66796875
49.725,60.66796875
49.45,60.66796875
48.95,60.66796875
49.7,60.66796875
49.95,60.66796875
49.2,60.66796875
49.2,60.66796875
49.225,60.66796875
49.475,60.66796875
49.45,60.66796875
49.475,60.66796875
49.0,60.66796875
49.475,60.66796875
49.45,60.66796875
48.95,60.66796875
49.725,60.92578125
49.7,60.92578125
49.725,60.92578125
49.475,60.92578125
49.45,60.92578125
49.45,60.92578125
49.475,60.92578125
49.95,60.92578125
49.45,60.92578125
49.725,60.92578125
49.5,60.92578125
49.75,60.92578125
49.2,60.92578125
49.2,60.92578125
49.5,60.92578125
49.225,60.92578125
49.225,60.92578125
48.95,60.92578125
49.2,60.92578125
49.475,60.92578125
49.2,60.92578125
49.45,60.92578125
48.95,60.92578125
49.7,60.92578125
49.225,60.92578125
49.45,60.92578125
49.45,60.92578125
49.2,60.92578125
48.75,60.92578125
49.2,60.92578125
49.2,60.92578125
49.2,60.92578125
48.95,60.92578125
49.45,60.92578125
49.475,60.92578125
49.475,60.92578125
49.725,60.92578125
49.725,60.92578125
49.7,60.92578125
49.7,60.92578125
49.7,60.92578125
49.95,60.92578125
49.475,60.92578125
49.725,60.92578125
49.975,60.92578125
49.45,60.92578125
49.95,60.92578125
49.7,60.92578125
49.725,60.92578125
49.7,60.92578125
49.45,60.92578125
49.7,60.92578125
49.7,60.92578125
49.725,60.92578125
49.225,60.92578125
49.45,60.92578125
49.5,60.92578125
48.975,60.92578125
49.225,60.92578125
49.7,60.92578125
49.975,60.92578125
48.95,60.92578125
49.2,60.92578125
49.2,60.92578125
49.5,60.92578125
49.2,60.92578125
49.2,60.92578125
48.95,60.92578125
49.75,60.92578125
49.2,60.92578125
49.2,60.92578125
49.95,60.92578125
49.225,60.92578125
49.225,60.92578125
48.95,60.92578125
49.475,60.92578125
49.25,60.92578125
49.475,60.92578125
48.95,60.92578125
49.475,60.92578125
49.7,60.92578125
49.475,60.92578125
49.7,60.92578125
49.475,60.92578125
49.725,60.92578125
49.2,60.92578125
49.225,60.92578125
