Cpu usado (%),Memória usada (MiB)
24.725,37.74609375
24.975,49.5
24.975,49.5
24.975,49.7578125
25.25,50.015625
24.975,50.2734375
24.975,50.2734375
24.975,50.53125
24.975,50.53125
24.975,50.7890625
25.225,51.046875
24.975,51.046875
24.725,51.3046875
24.975,51.5625
24.975,51.5625
25.225,51.8203125
24.975,51.8203125
24.975,52.078125
24.975,52.3359375
24.975,52.3359375
24.975,52.59375
24.975,52.59375
25.225,52.8515625
24.975,53.109375
24.975,53.109375
24.975,53.3671875
24.975,53.3671875
25.0,53.625
24.975,53.8828125
25.0,53.8828125
24.975,54.140625
24.975,54.3984375
25.225,54.3984375
24.975,54.65625
24.975,54.65625
24.975,54.9140625
24.975,54.9140625
24.975,55.171875
24.975,55.171875
24.975,55.4296875
24.975,55.6875
25.225,55.6875
24.975,55.9453125
24.975,55.9453125
24.975,56.203125
24.975,56.4609375
24.975,56.4609375
24.975,56.71875
25.0,56.71875
24.975,56.9765625
24.975,57.234375
25.225,57.234375
24.975,57.4921875
24.975,57.75
24.975,57.75
24.975,58.0078125
24.975,58.0078125
25.25,58.265625
25.0,58.265625
24.975,58.5234375
24.975,58.78125
25.0,58.78125
24.975,59.0390625
24.975,59.0390625
25.225,59.296875
24.975,59.5546875
24.975,59.5546875
24.975,61.23046875
24.975,61.23046875
24.975,61.23046875
25.225,61.23046875
24.975,61.23046875
24.975,61.23046875
24.975,61.23046875
24.975,61.46484375
25.0,61.46484375
24.975,61.72265625
25.0,61.72265625
24.975,61.98046875
24.975,62.23828125
25.225,62.23828125
24.975,62.49609375
24.975,62.49609375
24.975,62.75390625
24.975,62.75390625
24.975,63.01171875
24.975,63.26953125
24.975,63.26953125
24.975,63.52734375
25.225,63.52734375
24.725,63.78515625
24.975,63.78515625
25.225,64.04296875
24.975,64.04296875
24.975,64.30078125
24.975,64.55859375
24.975,64.55859375
24.975,64.81640625
25.225,64.81640625
24.725,65.07421875
24.975,65.07421875
25.225,65.33203125
24.975,65.33203125
24.975,65.58984375
24.975,65.58984375
24.975,65.84765625
24.975,65.84765625
25.225,66.10546875
25.0,66.36328125
24.975,66.36328125
24.975,66.62109375
25.0,66.62109375
24.975,66.87890625
24.975,66.87890625
24.975,67.13671875
24.975,67.13671875
24.975,67.39453125
25.0,67.65234375
25.225,67.65234375
25.0,67.91015625
24.975,67.91015625
24.725,68.16796875
25.25,68.16796875
24.975,68.42578125
24.975,68.42578125
24.975,68.68359375
24.975,68.68359375
24.975,68.94140625
25.0,68.94140625
24.975,69.97265625
24.975,69.97265625
24.975,69.97265625
25.225,69.97265625
24.975,69.97265625
24.975,69.97265625
24.975,69.97265625
24.975,70.23046875
25.225,70.23046875
24.975,70.48828125
24.975,70.48828125
24.975,70.74609375
24.975,70.74609375
24.975,71.00390625
24.975,71.26171875
25.225,71.26171875
24.975,71.51953125
25.0,71.51953125
24.975,71.77734375
25.0,71.77734375
24.975,72.03515625
24.975,72.03515625
25.225,72.29296875
24.975,72.29296875
24.725,72.55078125
25.225,72.80859375
24.975,72.80859375
24.975,73.06640625
24.975,73.06640625
24.975,73.32421875
24.975,73.32421875
25.225,73.58203125
24.975,73.83984375
24.725,73.83984375
25.225,74.09765625
25.0,74.09765625
24.975,74.35546875
24.975,74.61328125
24.975,74.61328125
24.975,74.87109375
24.975,74.87109375
25.0,75.12890625
24.975,75.38671875
24.975,75.38671875
25.225,75.64453125
24.975,75.64453125
24.975,75.90234375
24.975,75.90234375
25.0,76.16015625
24.975,76.16015625
25.0,76.41796875
24.975,76.67578125
24.975,76.67578125
25.225,76.67578125
24.975,76.93359375
24.975,76.93359375
24.975,77.19140625
25.225,77.44921875
25.0,77.70703125
24.975,78.22265625
24.975,78.22265625
25.0,78.22265625
24.975,78.22265625
24.975,78.22265625
24.975,78.48046875
24.975,78.48046875
24.975,78.73828125
25.225,78.73828125
24.975,78.99609375
24.975,78.99609375
24.975,79.25390625
24.975,79.25390625
24.975,79.51171875
25.225,79.51171875
24.725,79.76953125
24.975,79.76953125
24.975,80.02734375
24.975,80.28515625
25.225,80.28515625
24.975,80.54296875
24.75,80.54296875
25.225,80.80078125
24.975,80.80078125
24.975,81.05859375
24.975,81.31640625
24.975,81.31640625
24.975,81.57421875
24.975,81.83203125
24.975,81.83203125
24.975,82.08984375
24.975,82.08984375
24.975,82.34765625
24.975,82.60546875
24.975,82.60546875
24.975,82.60546875
25.225,82.86328125
24.975,83.12109375
24.975,83.12109375
24.975,83.37890625
24.975,83.37890625
24.975,83.63671875
24.975,83.89453125
24.975,83.89453125
24.975,84.15234375
25.225,84.15234375
24.975,84.41015625
24.975,84.41015625
24.975,84.66796875
24.975,84.66796875
24.975,84.92578125
24.975,84.92578125
24.975,85.18359375
24.975,85.18359375
25.225,85.44140625
24.975,85.69921875
24.975,86.47265625
25.225,86.47265625
24.975,86.47265625
24.975,86.47265625
24.975,86.47265625
24.975,86.47265625
24.975,86.73046875
25.225,86.73046875
24.975,86.98828125
24.975,86.98828125
24.975,87.24609375
24.975,87.24609375
24.975,87.50390625
24.975,87.76171875
24.975,87.76171875
24.975,88.01953125
25.225,88.01953125
25.0,88.27734375
24.725,88.53515625
24.975,88.53515625
25.225,88.79296875
24.975,88.79296875
24.725,89.05078125
25.225,89.05078125
24.975,89.30859375
24.975,89.30859375
25.225,89.56640625
24.975,89.56640625
24.975,89.82421875
24.975,89.82421875
25.0,90.08203125
24.975,90.08203125
24.975,90.33984375
24.975,90.59765625
24.975,90.59765625
25.225,90.85546875
24.975,90.85546875
24.975,91.11328125
24.975,91.11328125
24.975,91.37109375
24.975,91.37109375
24.975,91.62890625
25.225,91.88671875
24.975,91.88671875
25.0,92.14453125
24.975,92.14453125
25.0,92.40234375
24.975,92.40234375
24.975,92.66015625
24.975,92.66015625
24.975,92.91796875
24.975,92.91796875
25.0,93.17578125
25.25,93.17578125
24.975,93.43359375
24.975,93.43359375
24.975,93.69140625
24.975,93.69140625
24.975,93.94921875
24.975,94.72265625
25.0,94.72265625
24.975,94.72265625
24.975,94.72265625
25.25,94.72265625
24.725,94.72265625
24.975,94.98046875
25.225,94.98046875
24.975,95.23828125
24.725,95.49609375
25.475,95.49609375
24.725,95.75390625
24.975,95.75390625
25.225,96.01171875
24.975,96.01171875
24.975,96.26953125
24.975,96.52734375
24.975,96.52734375
24.975,96.78515625
24.975,96.78515625
24.975,97.04296875
24.975,97.04296875
25.225,97.30078125
24.975,97.30078125
24.975,97.55859375
24.975,97.55859375
25.0,97.81640625
24.975,98.07421875
24.975,98.07421875
24.975,98.33203125
24.975,98.33203125
24.975,98.58984375
24.975,98.58984375
25.225,98.84765625
24.975,99.10546875
24.975,99.10546875
24.975,99.36328125
24.975,99.36328125
24.975,99.62109375
24.975,99.62109375
24.975,99.87890625
25.0,100.13671875
25.225,100.13671875
24.975,100.39453125
24.975,100.39453125
24.975,100.65234375
25.0,100.65234375
25.0,100.91015625
24.975,100.91015625
24.975,101.16796875
25.225,101.16796875
24.975,101.42578125
24.725,101.42578125
25.25,101.68359375
25.0,101.94140625
24.975,101.94140625
24.975,102.71484375
24.975,102.71484375
24.975,102.71484375
24.975,102.71484375
25.0,102.71484375
25.0,102.97265625
24.975,102.97265625
24.975,103.23046875
25.25,103.23046875
24.975,103.48828125
24.975,103.48828125
24.975,103.74609375
24.975,103.74609375
24.975,104.00390625
25.225,104.00390625
25.0,104.26171875
24.975,104.26171875
24.975,104.51953125
25.0,104.77734375
24.975,104.77734375
24.975,105.03515625
24.975,105.03515625
24.975,105.29296875
24.975,105.29296875
25.225,105.55078125
24.975,105.55078125
24.975,105.80859375
24.975,106.06640625
24.975,106.06640625
24.975,106.32421875
24.975,106.32421875
24.975,106.58203125
24.975,106.83984375
25.225,106.83984375
24.975,107.09765625
24.975,107.09765625
25.225,107.35546875
24.975,107.61328125
24.975,107.61328125
24.975,107.87109375
24.975,107.87109375
24.975,107.87109375
25.225,108.12890625
24.975,108.38671875
24.975,108.38671875
