generation,best_element_fitness,population_fitness_std,time_to_run_generation
1,-17.17565492462446,36.29705995468722,57.955402851104736
2,-46.0811199538486,35.20031849008616,48.10627746582031
3,29.9653359598476,33.52853311686629,42.86871290206909
4,3.785888672562021,31.580989260153398,39.60089135169983
5,119.78175418230248,29.45438945178269,36.743818521499634
6,90.68043092844248,29.48110049074799,35.91254949569702
7,-56.56094215099563,28.14264927347884,35.470377922058105
8,2.562388956288757,27.91925808749828,33.81558418273926
9,4.824738277431772,24.712528754178425,33.077019929885864
10,77.96219878211923,21.97797438959302,34.29994058609009
