1,-89.13423190816897
500,-415.8390448892955
1000,-170.6307331391567
1500,19.845586842768554
2000,-271.78109745519794
2500,-33.11723255186331
3000,-248.77823456186542
3500,-166.2795700774472
4000,-298.7332507183328
4500,-373.69031324912834
5000,-479.55004800551063
5500,-121.55756826507867
6000,-239.3388691619623
6500,-217.34111362809733
7000,-110.61076835818982
7500,-248.50949893738658
8000,-33.737923832261004
8500,-161.45565409772303
9000,-346.4608395908319
9500,-309.81008496783113
10000,-183.61661653653226
10500,-262.5544758740087
11000,-222.07002876617975
11500,-383.29825936166804
12000,-292.1797480296079
12500,-114.2662957839747
13000,-112.14677603121316
13500,-121.22836726362723
14000,-289.2722324525755
14500,-257.57717672669594
15000,-201.10294040627014
15500,-336.33573731205246
16000,-262.9546072527967
16500,-116.57450522490939
17000,-168.16988515900482
17500,-242.58222976494088
18000,-187.739402674738
18500,-92.0119456055345
19000,-238.68499746878481
19500,-153.85226596991447
20000,-206.11053316237172
