generation,best_element_fitness,population_fitness_std,time_to_run_generation
1,-3.0,1.163187001302886,6.009203195571899
2,-1.0,1.1539497389401325,5.890981435775757
3,-2.0,1.1323091450659577,5.95349907875061
4,-2.0,1.143291738796358,5.9763195514678955
5,-2.0,1.0733573496277928,6.084185838699341
6,-2.0,1.0886983053169503,6.236320972442627
7,-2.0,1.059667872495906,6.441485404968262
8,-2.0,1.0291277860401982,6.571524143218994
9,2.0,1.0173612927569045,6.704742670059204
10,-1.0,1.0104949282406122,6.742098093032837
11,-2.0,0.9854055002890941,6.728760719299316
12,0.0,0.9258487997508016,6.770803928375244
13,1.0,0.9206323913484687,6.734715700149536
14,1.0,0.8695838084969154,6.920638799667358
15,0.0,0.8559883176772917,6.79403281211853
16,4.0,0.9313130515567792,6.74690055847168
17,4.0,0.8327568672787994,6.998976945877075
18,6.0,0.8862031369838407,6.921604871749878
19,3.0,0.8683409468636153,6.889175653457642
20,2.0,0.8009269629622916,7.14872145652771
21,2.0,0.7701298591796063,7.34278130531311
22,4.0,0.8114185110040317,7.103503227233887
23,5.0,0.8096912991998865,7.185420751571655
24,7.0,0.8412823545041225,7.803304433822632
25,7.0,0.8441705988720526,8.163044691085815
26,7.0,0.8778974883208175,8.686713933944702
27,7.0,0.7273926037567333,8.521135330200195
28,11.0,0.8590669356924406,8.955669164657593
29,10.0,0.9162423260251625,8.713966131210327
30,36.0,2.209274994200586,9.986230373382568
31,22.0,1.31885404802806,9.492841482162476
32,14.0,1.3537784161375894,10.810203313827515
33,16.0,1.2385071659057931,9.84147596359253
34,61.0,4.227593168695399,13.453548431396484
35,39.0,2.3798983171555883,12.623733043670654
36,35.0,2.857312723521876,12.322183609008789
37,40.0,3.4966789958473457,13.729054689407349
38,93.0,5.2790798440637365,15.092092037200928
39,73.0,4.281216649505138,13.128797769546509
40,55.0,3.4608114655381046,13.060791969299316
41,43.0,3.700708580799088,14.163929462432861
42,51.0,3.2859701763710514,12.990883350372314
43,40.0,3.175588764308124,14.317496299743652
44,31.0,3.057797246385051,13.64595079421997
45,46.0,4.2059438893071315,16.89323878288269
46,66.0,5.056874924298603,16.228449821472168
47,91.0,5.998865226024002,18.208375215530396
48,37.0,4.313632344092389,16.251041650772095
49,42.0,4.409388166174532,16.37984037399292
50,60.0,6.859292966479854,21.43398094177246
51,64.0,6.395731076272672,20.718573331832886
52,66.0,6.254962509879656,20.48253893852234
53,64.0,7.338228669099921,23.438573598861694
54,70.0,6.6468988257683,21.384297609329224
55,73.0,9.515043037212179,26.662680864334106
56,88.0,8.473405690747965,23.277913331985474
57,106.0,7.641784870041815,21.77221179008484
58,55.0,6.582914552081015,20.82617688179016
59,133.0,9.345786430258292,25.288105726242065
60,160.0,10.66095605468853,22.925966501235962
61,94.0,9.366740308132814,25.08723211288452
62,78.0,6.659901200468367,20.961429834365845
63,133.0,10.406761455899717,24.16375494003296
64,87.0,8.52523688820434,22.139344453811646
65,60.0,7.490852821942239,21.919304847717285
66,65.0,7.302408095963961,23.045783758163452
67,68.0,6.613204669447333,21.678232192993164
68,53.0,6.450320612186654,20.123301029205322
69,66.0,7.68314935426873,22.310240268707275
70,114.0,8.26892109044463,21.558878898620605
71,55.0,5.679651749887487,18.548139333724976
72,88.0,6.792660450810124,19.897305727005005
73,69.0,7.577862495453451,21.76065707206726
74,97.0,8.755775236950752,25.077060222625732
75,91.0,9.068767501706061,24.14301872253418
76,73.0,7.290865243577062,21.370534896850586
77,95.0,9.849388001292263,25.600079774856567
78,90.0,9.347244299792319,23.178877115249634
79,98.0,8.05869369066724,22.390016794204712
80,58.0,7.614145782686328,23.182501792907715
81,87.0,8.05430046621058,22.1801278591156
82,98.0,9.860051926840955,23.429607629776
83,145.0,9.466884387167724,23.202410221099854
84,106.0,8.638606137566407,23.573254346847534
85,75.0,5.8686816236698345,20.15809941291809
86,75.0,8.355381499369134,25.280089855194092
87,94.0,7.342919310465014,21.834214448928833
88,114.0,8.373521123159598,23.33549475669861
89,56.0,6.902756261088755,22.90668225288391
90,82.0,8.002104473199534,23.224371433258057
91,100.0,8.559454188206162,22.891703605651855
92,130.0,12.054905059767165,29.017788887023926
93,43.0,6.298703358628663,21.030048608779907
94,115.0,7.701365073803475,21.17774486541748
95,60.0,6.965635362262369,22.95402193069458
96,81.0,7.958360383898181,22.7430260181427
97,102.0,9.519789913648307,24.49054741859436
98,77.0,9.621526697983018,28.441208839416504
99,90.0,9.352674697646657,27.354609727859497
100,133.0,12.079671518712752,28.46141505241394
101,98.0,8.62587363691354,23.613707542419434
102,87.0,8.793128908414797,24.18496823310852
103,115.0,10.273825966990097,26.916359424591064
104,103.0,9.038726458965334,24.224634408950806
105,104.0,9.577853412952194,24.007681369781494
106,81.0,8.956267972766334,26.79371476173401
107,70.0,8.433320579700501,24.77805781364441
108,83.0,7.8687737291143405,24.847326278686523
109,66.0,7.792401170371043,24.21028232574463
110,79.0,8.156462713701327,24.033159732818604
111,169.0,11.33198588068305,27.76323699951172
112,94.0,8.287680254449974,24.268889904022217
113,88.0,7.90929857825585,22.898984670639038
114,42.0,5.1630514233348475,19.849853038787842
115,71.0,7.178065477550342,23.227917432785034
116,54.0,7.625538931773937,24.39080047607422
117,58.0,6.677297656986695,22.657658338546753
118,66.0,7.5559933827392936,22.552279710769653
119,83.0,7.519115639488462,23.86267375946045
120,75.0,8.196895753881467,23.2374746799469
121,54.0,7.12569294875944,23.666279077529907
122,97.0,8.7013274849301,25.726935863494873
123,112.0,10.674884730056807,28.7373948097229
124,78.0,7.817589398273614,24.73362946510315
125,210.0,12.555734785348088,25.646859645843506
126,94.0,8.491507286695338,23.384126663208008
127,48.0,6.112765331664549,22.647308349609375
128,66.0,7.094756091649662,23.204057693481445
129,79.0,7.006674246745027,23.29415488243103
130,147.0,9.560726959808026,27.692532062530518
131,75.0,7.5316853359656495,23.355529069900513
132,91.0,9.047876878030559,27.846004724502563
133,72.0,7.3827051952519405,24.210103273391724
134,63.0,7.0906166163458595,26.063962697982788
135,85.0,7.815989764578764,24.838906288146973
136,67.0,6.763803367928432,24.357666492462158
137,106.0,7.92555360842383,23.12343168258667
138,103.0,8.424578090325948,25.186355352401733
139,61.0,9.070908223546306,27.397181272506714
140,109.0,9.476872057804727,27.059927940368652
141,98.0,8.990450711727416,26.792253494262695
142,105.0,9.826824309002374,26.426063060760498
143,63.0,7.436972233375623,25.318769454956055
144,72.0,9.119232423839192,28.959481477737427
145,81.0,9.301239487294152,26.08679986000061
146,93.0,8.278188207572958,25.702954292297363
147,116.0,9.876792191799927,27.648170471191406
148,69.0,8.25251573764025,27.117051362991333
149,96.0,10.380247395895726,27.656779766082764
150,78.0,7.941760761946937,27.10734224319458
151,60.0,6.96821899770666,23.999695777893066
152,64.0,7.6414354672404325,26.91062617301941
153,75.0,8.882514058530951,26.245357036590576
154,69.0,9.496546740789517,27.38927674293518
155,117.0,11.927999161636455,31.269310474395752
156,95.0,10.302213160287453,29.0420880317688
157,85.0,9.082425006571757,27.10652232170105
158,60.0,7.847547387560014,26.533876180648804
159,78.0,7.538030246689117,23.784022569656372
160,111.0,10.087834257163427,29.448591470718384
161,60.0,7.548196075884622,27.232004165649414
162,87.0,8.928891308555615,27.94835329055786
163,132.0,10.569030229874452,29.063896417617798
164,96.0,9.59757135946381,28.53620672225952
165,60.0,7.728312623076268,25.615057468414307
166,49.0,6.21819137691982,21.664130926132202
167,83.0,8.14822164646986,24.967552423477173
168,52.0,7.790982223057629,26.39512801170349
169,106.0,10.157038150957197,28.5681254863739
170,90.0,10.08414101448408,28.76635503768921
171,129.0,10.131808130832324,28.01809597015381
172,141.0,10.888941913703094,30.781278133392334
173,134.0,10.57496572098463,28.793784618377686
174,84.0,9.02803987585345,25.144877433776855
175,48.0,6.671466405521352,23.088068962097168
176,51.0,6.367154466478727,23.43935537338257
177,123.0,10.577941387623584,28.722919464111328
178,139.0,11.168759823722596,30.66624116897583
179,145.0,11.162913418995956,27.777803659439087
180,152.0,9.350072513087799,25.150134563446045
181,112.0,8.732386615353215,26.61274242401123
182,122.0,11.30315071119553,27.457664489746094
183,76.0,10.102586599480354,28.78920841217041
184,115.0,9.980937631304986,27.366217136383057
185,120.0,9.410140062719575,27.165657997131348
186,58.0,6.161128143449056,22.466116428375244
187,107.0,8.844808420762995,29.249645233154297
188,56.0,7.86374236607482,25.532381772994995
189,94.0,10.316898758832522,31.413206338882446
190,82.0,8.05182687344928,25.700103521347046
191,153.0,11.270103992421719,30.331332445144653
192,110.0,9.252869825086702,26.389119148254395
193,78.0,8.078737277570053,25.198352098464966
194,189.0,13.208217290762596,31.272366523742676
195,80.0,8.800520666415142,28.399005651474
196,82.0,9.729402037124377,30.966914653778076
197,70.0,7.715974079790574,26.02070379257202
198,63.0,7.574106151883534,25.98780608177185
199,78.0,9.172816143366223,30.631673574447632
200,135.0,10.027764656193323,28.843389987945557
201,99.0,9.665526369525873,28.713518619537354
202,72.0,8.62334134776074,26.838158130645752
203,74.0,8.765591594410498,27.836564779281616
204,106.0,10.123300647516105,28.223132133483887
205,73.0,8.743028308315147,27.50001335144043
206,150.0,12.73334190226588,30.77933692932129
207,84.0,8.01146678205683,24.803242921829224
208,77.0,8.763682102860646,25.011701583862305
209,120.0,9.423658737454366,26.61292338371277
210,102.0,10.44556843833786,27.929943561553955
211,72.0,9.190111860037396,28.01004385948181
212,56.0,5.249341292009884,19.421610593795776
213,78.0,8.868488935551536,25.419549703598022
214,90.0,7.350536306964274,23.2730712890625
215,77.0,9.482555773629809,28.4544038772583
216,39.0,5.447375514869523,22.59217882156372
217,91.0,10.250751191985884,28.55436897277832
218,71.0,7.976337756138465,25.28211212158203
219,90.0,10.034097667453711,28.394782304763794
220,91.0,8.318002404423792,25.786001682281494
221,141.0,11.856471481853275,28.884008169174194
222,66.0,6.5512136280234365,24.157068490982056
223,67.0,9.011204359018832,28.90329122543335
224,127.0,8.93143751027795,26.18378257751465
225,66.0,7.6946734823512815,24.427968502044678
226,61.0,6.59663550607429,22.09640884399414
227,64.0,7.730824276880183,25.7946937084198
228,67.0,7.5659920697817284,24.378416776657104
229,51.0,7.15850794509582,26.01901364326477
230,106.0,8.348574968220625,24.514301776885986
231,82.0,7.0572456383492845,23.28501582145691
232,96.0,10.824693991055822,29.223706245422363
233,88.0,9.654040397678061,26.36210870742798
234,57.0,7.803337491099561,25.115012168884277
235,73.0,6.979610017758872,21.880611896514893
236,84.0,9.00930629959932,26.840340614318848
237,90.0,8.389168969570227,24.54373264312744
238,84.0,8.670845633500807,27.2493097782135
239,106.0,10.209887560595366,28.021997451782227
240,84.0,7.54757576974223,25.42065119743347
241,150.0,10.954976038312454,27.981403827667236
242,154.0,11.54918178920048,25.26214909553528
243,89.0,10.536906566919914,29.55897092819214
244,195.0,12.294466234855419,28.640125274658203
245,154.0,11.574672176783237,27.425007343292236
246,199.0,10.64499882573972,24.89664125442505
247,71.0,8.365551027876167,26.5766441822052
248,81.0,8.768216238209458,27.72334575653076
249,68.0,7.911567227800065,27.124375581741333
250,100.0,9.639505381501687,28.12460207939148
251,103.0,9.90959353354112,27.945616722106934
252,74.0,8.457869944613716,26.3225200176239
253,108.0,9.330674359337591,27.409236192703247
254,174.0,10.718585541012397,27.250407457351685
255,75.0,7.525256407591704,22.785551071166992
256,66.0,8.635305205955374,26.078243017196655
257,126.0,9.434929782462612,25.647799253463745
258,115.0,10.48707089706177,29.821290493011475
259,84.0,8.16979803911945,25.712889194488525
260,96.0,9.240999729466505,27.645458698272705
261,88.0,10.50840730082347,29.185444831848145
262,91.0,10.698956210771216,31.181505918502808
263,157.0,11.840722275266826,33.45904302597046
264,57.0,7.30492984223668,23.573983907699585
265,87.0,7.906048317585721,25.100533485412598
266,75.0,9.020141018853309,29.83416485786438
267,78.0,9.758044681184852,31.224176168441772
268,133.0,10.68299134138,31.548912048339844
269,78.0,7.724168822598325,26.50003170967102
270,78.0,9.109296130876414,28.284019470214844
271,102.0,10.825572686929778,30.48297119140625
272,75.0,7.24004723741496,24.040786266326904
273,90.0,8.348556761500756,24.25786304473877
274,120.0,9.217043994687232,25.740018129348755
275,138.0,11.201209934645455,29.720701694488525
276,57.0,7.755746256808561,26.351977825164795
277,82.0,11.05959782270585,31.981717824935913
278,93.0,8.04381600983016,25.175405025482178
279,73.0,9.52228438978799,28.677501440048218
280,70.0,7.778651811207389,25.037916660308838
281,88.0,8.769552782211873,27.487229347229004
282,98.0,10.841314311466116,31.96842360496521
283,115.0,10.02857916157618,28.716512441635132
284,67.0,6.9640551405054225,25.76647973060608
285,127.0,11.414247062333985,33.08089208602905
286,146.0,11.296041607572096,28.14350461959839
287,77.0,8.224387879957998,24.76992893218994
288,82.0,7.365297006910177,23.399555206298828
289,77.0,9.152573408610282,28.85603952407837
290,90.0,8.160219604888093,26.576555967330933
291,69.0,8.335707288526871,27.540184020996094
292,52.0,6.671701432168559,25.87140703201294
293,72.0,7.117283470538461,24.295079231262207
294,114.0,9.303851030621674,25.885456800460815
295,81.0,8.85835447473175,26.374984979629517
296,69.0,8.052581946183471,29.47319483757019
297,82.0,9.31662514003864,27.837002515792847
298,81.0,8.538761268474484,27.11451292037964
299,107.0,8.193004577076714,25.90730381011963
300,69.0,8.911889586389634,27.295077085494995
