generation,best_element_fitness,population_fitness_std,time_to_run_generation
1,-13.92,4.481160915477149,20.78708553314209
2,-14.620000000000001,4.483715558150404,21.268543243408203
3,-14.840000000000003,4.483393302890122,21.90539813041687
4,-13.98,4.477363435728666,21.95399761199951
5,-14.800000000000004,4.483333880763287,21.78118586540222
6,-14.840000000000002,4.482010397132072,22.437467336654663
7,-13.93,4.470440716126319,23.434147596359253
8,-14.050000000000018,4.468114577940007,24.70881748199463
9,-13.96,4.4602762520274455,25.919716358184814
10,-14.57000000000001,4.466901552127604,26.10806655883789
11,-14.540000000000004,4.460122619121588,27.448935747146606
12,-14.410000000000007,4.457520965738692,27.669907093048096
13,-12.790000000000042,4.428664141882968,30.01081943511963
14,-13.850000000000003,4.440401558417888,29.900870323181152
15,-13.550000000000006,4.425514410596808,32.63651180267334
16,-13.730000000000004,4.426173353089553,32.90060615539551
17,-13.420000000000012,4.417850044716323,34.29514694213867
18,-13.960000000000022,4.417072645995311,35.05233359336853
19,-13.200000000000035,4.4197924791103045,35.284255027770996
20,-13.950000000000001,4.417568543893802,34.70689535140991
21,-11.600000000000072,4.400730384652076,36.67248582839966
22,-13.660000000000005,4.407649926933854,35.05411100387573
23,-14.080000000000018,4.404324629089007,36.74096345901489
24,-14.050000000000011,4.411051907697303,36.681800842285156
25,-14.400000000000007,4.411789739822153,36.82350492477417
26,-14.10000000000001,4.404759873182647,38.28723645210266
27,-13.870000000000003,4.3892534623099655,39.86497783660889
28,-13.630000000000006,4.377065765053115,42.55525088310242
29,-13.650000000000007,4.380057872631366,41.04727816581726
30,-13.480000000000008,4.3891340001872825,39.589499950408936
31,-12.970000000000017,4.377609531193938,40.8643844127655
32,-13.490000000000025,4.385912140296476,41.53280425071716
33,-12.570000000000018,4.366099324339749,43.1564257144928
34,-13.420000000000012,4.357908785461213,45.64211177825928
35,-13.250000000000014,4.345325087907695,46.5303635597229
36,-10.670000000000037,4.293272934999593,52.50754404067993
37,-12.730000000000045,4.325511923460622,50.79962921142578
38,-12.380000000000042,4.338705269501493,48.70255923271179
39,-12.920000000000012,4.330572040735498,49.69536852836609
40,-11.960000000000056,4.313158329159738,51.29771089553833
41,-10.830000000000053,4.310033337968515,53.458290100097656
42,-10.960000000000086,4.269146519434537,56.59994149208069
43,-12.19000000000003,4.291362200700382,57.001137495040894
44,-12.19,4.271554348056457,58.999468088150024
45,-10.94000000000005,4.246607041109412,64.76942682266235
46,-10.02000000000002,4.237137102289709,64.79567837715149
47,-8.330000000000037,4.222385808805258,66.86470890045166
48,-10.410000000000064,4.2346533581392505,67.50756025314331
49,-11.250000000000044,4.167438120428429,76.62584161758423
50,-8.040000000000074,4.122290134912879,80.76011967658997
51,-9.490000000000052,4.124968533164834,81.10091376304626
52,-7.540000000000039,4.1107997440400865,80.14636778831482
53,-10.250000000000039,4.120094754444374,85.72209095954895
54,-6.550000000000055,4.03899208436957,99.47355651855469
55,-9.490000000000048,4.045706823337555,90.62967610359192
56,-6.750000000000018,4.014845666971527,98.05272364616394
57,-9.960000000000022,4.02733759891073,93.97256731987
58,-7.630000000000004,3.9840245563500294,106.32586884498596
59,-3.1600000000000508,3.9543822655884004,104.7705590724945
60,14.019999999999909,3.99766981007687,123.87467646598816
61,13.509999999999923,4.0013693861477035,108.89938735961914
62,16.969999999999857,4.004895024841481,114.98827290534973
63,-1.030000000000114,3.881522733103602,114.71331644058228
64,-2.7400000000000517,3.8284290197938966,116.66724801063538
65,14.419999999999959,3.8419930377865157,127.66568303108215
66,15.189999999999925,3.868727924214889,130.5456142425537
67,17.949999999999932,3.8526524568925304,129.19030737876892
68,15.35999999999997,3.850197965351918,132.02874994277954
69,20.619999999999916,3.8579076683611855,149.486665725708
70,20.339999999999915,3.776379373897709,150.33852076530457
71,21.339999999999915,3.90869302432412,154.43407702445984
72,20.67999999999986,4.00930201406679,158.79132199287415
73,20.779999999999927,4.062947028943397,197.9426565170288
74,22.159999999999876,4.061766248862677,187.1983106136322
75,20.76999999999993,4.0429028190645395,180.39459037780762
