generation,best_element_fitness,time_to_run_generation
1,-74.03703811759604,0
2,-4.27407695277615,358.74293327331543
3,-22.484931542464683,278.4506266117096
4,-18.011498797315504,237.88480639457703
5,18.29257120216916,226.10464811325073
6,6.3289770337937625,234.04113149642944
7,-3.6607905724558973,233.55632543563843
8,8.252211031895248,252.47240734100342
9,-25.287529564626006,272.41523933410645
10,16.448114088113435,275.85429430007935
11,18.343684883778906,300.6018879413605
12,62.66056513732819,301.7761025428772
13,100.58933235759592,311.1924247741699
14,63.64443112301118,303.3831374645233
15,64.17337989030045,328.7885801792145
16,58.915101383271704,345.9806294441223
17,81.91656788498821,405.56486892700195
18,67.42143572433262,466.60551142692566
19,126.3079919767933,526.0303461551666
20,103.74127148305115,608.3396272659302
21,119.27548203433871,666.7100682258606
22,155.93919263955777,848.3392233848572
23,133.42818021640352,943.605390548706
24,121.00483790615651,947.9163064956665
25,130.0620836158142,991.2001490592957
26,121.66050895613276,1050.5187227725983
27,136.10060661705683,1060.7920122146606
28,141.79801459962454,1092.2161543369293
29,161.54505088536897,1131.082754611969
30,157.50472402467315,1202.0217175483704
31,138.84201320913024,1134.6843271255493
32,151.12401562902713,1178.0741186141968
33,147.45202050928006,1171.5491995811462
34,166.59017036127938,1193.986225605011
35,183.6862184768408,1127.2001819610596
36,181.20737692736802,1180.9688398838043
37,159.22890364341282,1145.9204380512238
38,159.21753559172657,1179.4670507907867
39,167.51377901821098,1164.4415385723114
40,157.58660092369598,1133.8028674125671
41,158.47957308344596,1189.9988152980804
42,172.0268770781055,1090.8492279052734
43,179.6207988898638,1090.8901574611664
44,152.0946157155306,1118.7609119415283
45,189.61102795415098,1097.1007153987885
46,170.25535802102172,1126.166404724121
47,182.99156779434063,1120.682203054428
48,178.04522941958245,1142.231229543686
49,175.92147232139013,1042.3185214996338
50,195.50758127338537,1127.9491703510284
51,191.92136792048782,1140.2764611244202
52,206.35175537220675,1113.9428453445435
53,180.54436090066844,1116.57572555542
54,186.69618815420048,1073.8362264633179
55,187.82840968929034,1103.0758662223816
56,190.5174681771312,1092.2755677700043
57,194.85352831300557,1041.6283118724823
58,183.58104620681203,1004.500328540802
59,190.97396628608982,1016.9579341411591
60,195.72183940262298,1018.8974161148071
61,205.0247687721334,1056.490972518921
62,199.1744723822107,1017.9477314949036
63,192.95058389445313,987.0945951938629
64,190.82554378711143,1055.8435127735138
65,200.3435055042406,1033.8622608184814
66,202.0686039249145,981.6626238822937
67,192.20492586295558,992.1491181850433
68,207.70778613161355,980.3555884361267
69,213.30898866648332,882.529949426651
