Cpu usado (%),Memória usada (MiB)
39.0,40.28125
49.2,58.41796875
49.75,58.41796875
49.45,58.41796875
49.475,58.77734375
49.45,58.77734375
49.2,58.77734375
49.7,58.77734375
49.45,58.77734375
48.95,58.77734375
49.95,58.77734375
48.95,58.77734375
49.2,58.77734375
49.225,58.77734375
49.25,61.0078125
49.725,61.0078125
49.2,61.0078125
49.7,61.0078125
49.475,61.0078125
49.2,61.0078125
49.7,61.0078125
49.475,61.0078125
49.95,61.0078125
49.95,61.0078125
49.225,61.0078125
49.95,61.0078125
49.475,61.0078125
49.975,61.3046875
49.725,61.3046875
49.7,61.3046875
49.975,61.3046875
50.45,61.3046875
48.95,61.3046875
49.95,61.3046875
49.475,61.3046875
49.475,61.3046875
49.2,61.3046875
49.225,61.3046875
49.25,61.3046875
48.975,61.3046875
49.25,61.3046875
49.45,61.3046875
48.725,61.3046875
49.45,61.3046875
49.25,61.3046875
49.725,61.3046875
49.475,61.3046875
48.95,61.3046875
49.5,61.3046875
48.975,61.3046875
49.475,61.3046875
49.45,61.3046875
49.2,61.3046875
49.725,61.3046875
49.45,61.3046875
49.7,61.3046875
49.7,61.3046875
49.225,61.3046875
49.2,61.3046875
48.95,61.3046875
49.2,61.3046875
48.95,61.3046875
48.95,61.3046875
49.45,61.3046875
49.95,61.3046875
49.225,61.3046875
49.2,61.6875
49.45,61.6875
49.2,61.6875
49.95,61.6875
49.975,61.6875
49.45,61.6875
50.0,61.6875
49.95,61.6875
49.75,61.6875
49.95,61.6875
49.7,61.6875
50.45,61.6875
48.95,61.6875
49.45,61.6875
49.2,61.6875
49.7,61.6875
49.725,61.6875
49.2,61.6875
49.7,61.6875
49.225,61.6875
49.725,61.6875
49.475,61.6875
49.45,61.6875
49.475,61.6875
49.7,61.6875
49.225,61.6875
50.2,61.6875
49.2,61.6875
49.2,61.6875
49.7,61.6875
48.7,61.6875
49.225,61.6875
49.225,61.6875
49.975,61.6875
49.0,61.6875
49.25,61.6875
49.2,61.6875
50.2,61.6875
49.2,61.6875
49.7,61.6875
49.2,61.6875
49.2,61.6875
49.225,61.6875
49.2,61.6875
49.725,61.6875
49.2,61.6875
